Start time: Sat Mar 14 12:07:55 PM CET 2026
Host: albatros.polytechnique.fr
Sat Mar 14 12:07:55 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 580.126.18             Driver Version: 580.126.18     CUDA Version: 13.0     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA RTX A5000               Off |   00000000:01:00.0 Off |                  Off |
| 30%   41C    P8             29W /  230W |     138MiB /  24564MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|    0   N/A  N/A         1639117      G   /usr/libexec/Xorg                        94MiB |
|    0   N/A  N/A         1639144      G   /usr/bin/gnome-shell                      8MiB |
+-----------------------------------------------------------------------------------------+
cuda available: True
device count: 1
device name: NVIDIA RTX A5000
Using device: cuda
Downloading https://www.cs.toronto.edu/~kriz/cifar-10-python.tar.gz to ./data/cifar-10-python.tar.gz
Extracting ./data/cifar-10-python.tar.gz to ./data
Files already downloaded and verified
Files already downloaded and verified

====================================================================================================
Training model for label-noise alpha = 1.000
====================================================================================================
[Epoch 001/200] loss=2.3399 | train_acc(noisy-online)=0.0983 | lr=0.09999
[Epoch 002/200] loss=2.3088 | train_acc(noisy-online)=0.1025 | lr=0.09998
[Epoch 003/200] loss=2.3064 | train_acc(noisy-online)=0.1021 | lr=0.09994
[Epoch 004/200] loss=2.3047 | train_acc(noisy-online)=0.1033 | lr=0.09990
[Epoch 005/200] loss=2.3038 | train_acc(noisy-online)=0.1030 | lr=0.09985
[Epoch 006/200] loss=2.3030 | train_acc(noisy-online)=0.1068 | lr=0.09978
[Epoch 007/200] loss=2.3023 | train_acc(noisy-online)=0.1085 | lr=0.09970
[Epoch 008/200] loss=2.3013 | train_acc(noisy-online)=0.1112 | lr=0.09961
[Epoch 009/200] loss=2.3000 | train_acc(noisy-online)=0.1122 | lr=0.09950
[Epoch 010/200] loss=2.2991 | train_acc(noisy-online)=0.1135 | lr=0.09938
[Epoch 011/200] loss=2.2975 | train_acc(noisy-online)=0.1167 | lr=0.09926
[Epoch 012/200] loss=2.2953 | train_acc(noisy-online)=0.1218 | lr=0.09911
[Epoch 013/200] loss=2.2930 | train_acc(noisy-online)=0.1237 | lr=0.09896
[Epoch 014/200] loss=2.2889 | train_acc(noisy-online)=0.1295 | lr=0.09880
[Epoch 015/200] loss=2.2837 | train_acc(noisy-online)=0.1328 | lr=0.09862
[Epoch 016/200] loss=2.2766 | train_acc(noisy-online)=0.1432 | lr=0.09843
